institution	graduate_level	program_name	discipline_name	unified_name	code	расшифровка
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	Иностранный язык	Иностранный язык	FL	foreign language
			Русский язык и культура речи	Русский язык	RU	russian language
			Философия	Философия	PH	philosophy
			Экономика	Экономика	EC	economics
			Безопасность жизнедеятельности	БЖД	BZHD	БЖД
			Физическая культура	Физкультура	PE	physical education
			Информатика и математика	Информатика	IT	IT
			Современное естествознание	Естествознание	NH	natural history
			Основы археологии	Археология	AR	archeology
			Основы этнологии	Этнология	ET	ethnology
			История первобытного общества	История	HS	history
			История древнего Востока	История	HS	history
			История древней Греции	История	HS	history
			История древнего Рима	История	HS	history
			История средних веков	История	HS	history
			История России до XIX века	История	HS	history
			История России XIX – начала XX века	История	HS	history
			Отечественная история XX века	История	HS	history
			История современной России	История	HS	history
			История стран Европы и Америки, 1640-1815 годов	История	HS	history
			История стран Европы и Америки, 1815-1918 годов	История	HS	history
			История стран Европы и Америки, 1918-1945 годов	История	HS	history
			История стран Европы и Америки, 1945-до наших дней	История	HS	history
			История южных и западных славян	История	HS	history
			Общая история Церкви	История	HS	history
			История стран Азии и Африки	История	HS	history
			История стран Ближнего Зарубежья	История	HS	history
			Теоретико-методологические проблемы исторической науки	Проблемы исторической науки	HP	history problems
			Источниковедение электронных документов	Источниковедение	SS	source studies
			Историография междисциплинарных исторических исследований	Междисциплинарные подходы	IDA	interdisciplinary approaches
			Архивоведение и архивные информационные технологии для историков	Архивоведение	AS	archive studies
			Историческая география и географические информационные системы	ГИС	GIS	GIS
			Латинский язык	Латинский язык	LT	latin language
			История искусства	История искусства и культуры	ACH	art and culture history
			Социология	Социология	SL	sociology
			Основы политологии	Политология	PT	politology
			История средневековой культуры (IV-XIV веков)	История искусства и культуры	ACH	art and culture history
			История средневековой культуры (XV-середина XVII веков)	История искусства и культуры	ACH	art and culture history
			Всемирная литература	Всемирная литература	WL	world literature
			Русская литература	Русская литература	RL	russian literature
			Стратегический менеджмент	Стратегический менеджмент	SM	strategic management
			Язык истории и политики	История и политика	HIP	history and politics
			Количественные методы в исторических исследованиях	Количественные методы	QM	quantitative methods
			Теория и практика преподавания истории в средней школе	Преподавание	TT	teaching
			Интернет-эвристика для историков	Эвристика	HU	heuristics
			Компьютерные методы анализа нарративных источников	Цифровые методы	DM	digital methods
			Компьютерная графика для историков	Компьютерная графика	CG	computer graphics
			Введение в историческую информатику	Историческая информатика	HCS	historical computer science
			Методы визуализации и репрезентации данных разнородных исторических источников: введение в R	R	R	R
			Информационные системы и базы данных в исторических исследованиях	Базы данных	DB	databases
			Индустриализация и модернизационные процессы в Российской империи и СССР: электронные  ресурсы, методы анализа	История индустриализации	IH	industrialization history
			Мировая история финансов, банков и денег от средних веков до XXI века: исследовательские подходы и методы	История финансов	MH	money history
			Внешняя торговля России в XVIII-XX вв.: источники, электронные ресурсы и методы их анализа	Внешняя торговля России	RE	russian export
			Биржевые кризисы и “аномалии”: исторический опыт и методы исследования	Биржевые кризисы	SMC	stock market crises
			Технологии оцифровки трёхмерных пространственных исторических данных: 3d моделирование,  фотограмметрия, лазерное сканирование, цифровая аэрофотосъёмка	3D-моделирование	3D	3D modelling
			Методы и технологии работы историка с аудиовизуальными документами	Аудиовизуальные документы	AV	audiovisual
			Разработка исторических интернет-ресурсов	Веб-разработка	WD	web development
Московский государственный университет имени М.В. Ломоносова	Магистратура	Историческая информатика	Иностранный язык	Иностранный язык	FL	foreign language
			Современное естествознание	Естествознание	NH	natural history
			Наука о данных и искусственный интеллект	Анализ данных	DS	data science
			Философия	Философия	PH	philosophy
			Экономика	Экономика	EC	economics
			Правоведение	Правоведение	JS	jurisprudence
			Методологические проблемы исторических исследований	Проблемы исторической науки	HP	history problems
			Теоретико-методологические проблемы преподавания истории	Преподавание	TH	teaching
			Музееведение	Музееведение	MS	museum studies
			Компьютерные методы анализа массовых источников	Цифровые методы	DM	digital methods
			Методы и технологии социальной истории	Социальная история	SH	social history
			Спецсеминар по научной проблематике исторической информатики	Историческая информатика	HCS	history computer science
			Компьютерное моделирование исторических процессов	Цифровые методы	DM	digital methods
			Математическая логика для историков	Логика	LG	logics
			Компьютерные реконструкции объектов историко-культурного наследия	3D-моделирование	3D	3D modelling
			Методы и технологии клиометрики	Клиометрика	CM	cliometrics
Тамбовский государственный университет имени Г.Р. Державина	Магистратура	Историческая информатика	Научно-исследовательский семинар	Научно-исследовательский семинар	RS	research seminar
			Управление проектами: методы и технологии	Проектный менеджмент	PM	project management
			Межкультурные коммуникации	Межкультурные коммуникации	IC	intercultural communications
			Информационные технологии в профессиональной деятельности	Цифровые гуманитарные науки	DH	digital humanities
			Иностранный язык в профессиональной сфере	Иностранный язык	FL	foreign language
			Актуальные проблемы исторических исследований	Проблемы исторической науки	HP	history problems
			Междисциплинарные подходы в современной исторической науке	Междисциплинарные подходы	IDA	interdisciplinary approaches
			Педагогика и психология высшей школы	Преподавание	TT	teaching
			Методологические проблемы исторической информатики	Историческая информатика	HCS	history computer science
			Статистика и анализ данных	Анализ данных	DS	data science
			Сохранение историко-культурного наследия методами исторической информатики	Историческая информатика	HCS	history computer science
			Информационные ресурсы по социальной истории	Социальная история	SH	social history
			Введение в гуманитарную информатику	Цифровые гуманитарные науки	DH	digital humanities
			Исторические информационные образовательные ресурсы	Исторические информационные образовательные ресурсы	HIS	historical info sources
			Цифровые возможности презентации и сохранения исторических источников	Цифровые методы	DM	digital methods
			Цифровые методы анализа текста в исторических исследованиях	Анализ текста	TA	text analysis
			Моделирование исторических процессов	Моделирование исторических процессов	MHS	modelling of historical processes
			Компьютерная графика и интерактивная анимация	Компьютерная графика	CG	computer graphics
			Геоинформационные системы в исторических исследованиях	ГИС	GIS	GIS
			Методы и технологии сетевого анализа	Социальные сети	SN	social networks
			Историография исторической информатики и Digital history	Историческая информатика	HCS	history computer science
Ижевский государственный технический университет им. М.Т. Калашникова	Бакалавриат	Прикладная информатика в лингвистике	Интеллектуальные информационные системы и технологии	Цифровые методы	DM	digital methods
			Статистические методы в лингвистике / Информационный поиск	Статические методы	SM	static methods
			Автоматизированная обработка естественного языка	Компьютерная лингвистика	COML	computational linguistics
			Языки и форматы разметки лингвистических данных	Компьютерная лингвистика	COML	computational linguistics
			Лингвистическое обеспечение информационных систем	Лингвистическое обеспечение информационных систем	LIT	ling IT
			Электронные издания, библиотеки, корпуса	Электронные издания	DI	digital issues
			Фонетика и основы обработки звучащей речи	Обработка речи	SR	speech recognition
			Управление проектной деятельностью	Проектный менеджмент	PM	project management
Ижевский государственный технический университет им. М.Т. Калашникова	Бакалавриат	Теоретическая и компьютерная лингвистика	Введение в теорию коммуникации	Коммуникации	CS	communications
			Основы судебной лингвистической экспертизы	Судебная лингвистическая экспертиза	FRL	forensic linguistics
			Литературное редактирование	Литературное редактирование	LE	literary editing
			Документная лингвистика	Документная лингвистика	DL	document linguistics
			Риторика	Риторика	RH	rhetorics
			Основы психолингвистики	Психолингвистика	PL	psycholinguistics
			Основы социолингвистики	Социолингвистика	SL	sociolinguistics
			Языки мира и языковые ареалы	Лингвистика	LG	linguistics
			История русского языка	Русский язык	RU	russian language
			Палеография	Палеография	PG	paleography
			Английский язык	Английский язык	EN	english language
			Немецкий язык	Немецкий язык	GE	german language
			Информатика и основы программирования	Основы программирования	PB	programming basics
			Технология проектирования программ	Программная инженерия	SE	software engineering
			Лингвистическое обеспечение информационных систем	Лингвистическое обеспечение информационных систем	LIT	ling IT
			Электронные издания	Электронные издания	DI	digital issues
			Технологии обработки текста и звучащей речи	Обработка речи	SR	speech recognition
			Технологии корпусной лингвистики	Корпусная лингвистика	CORL	corpus linguistics
УрФУ им. первого Президента России Б.Н. Ельцина	Магистратура	Интеллектуальные системы в гуманитарной среде	Работа в офисных пакетах	Работа в офисных пакетах	OP	office packages
			Основы программирования	Основы программирования	PB	programming basics
