institution	graduate_level	program_name	shortened_name	discipline_name	unified_name	code	расшифровка
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Иностранный язык	Иностранный язык	FL	foreign language
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Русский язык и культура речи	Русский язык	RU	russian language
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Философия	Философия	PH	philosophy
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Экономика	Экономика	EC	economics
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Безопасность жизнедеятельности	БЖД	BZHD	БЖД
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Физическая культура	Физкультура	PE	physical education
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Информатика и математика	Информатика	IT	IT
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Современное естествознание	Естествознание	NH	natural history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Основы археологии	Археология	AR	archeology
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Основы этнологии	Этнология	ET	ethnology
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История первобытного общества	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История древнего Востока	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История древней Греции	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История древнего Рима	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История средних веков	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История России до XIX века	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История России XIX – начала XX века	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	Отечественная история XX века	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История современной России	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История стран Европы и Америки, 1640-1815 годов	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История стран Европы и Америки, 1815-1918 годов	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История стран Европы и Америки, 1918-1945 годов	История	HS	history
Московский государственный университет имени М.В. Ломоносова	Бакалавриат	Историческая информатика	MSU_BA_HI	История стран Европы и Америки, 1945-до наших дней	История	HS	history
