institution	link	department	program_name	program_code	graduate_level	location	disciplines	competencies	employment	full_text
Московский государственный университет имени М.В. Ломоносова	http://www.hist.msu.ru/study/programs/bac/460301/program.php?ELEMENT_ID=55057	Исторический факультет	Историческая информатика	46.03.01	Бакалавриат	Москва	Иностранный язык Русский язык и культура речи  Философия  Экономика  Безопасность жизнедеятельности  Физическая культура  Информатика и математика  Современное естествознание  Основы археологии  Основы этнологии  История первобытного общества  История древнего Востока  История древней Греции  История древнего Рима  История средних веков  История России до XIX века  История России XIX – начала XX века  Отечественная история XX века История современной России История стран Европы и Америки, 1640-1815 годов История стран Европы и Америки, 1815-1918 годов История стран Европы и Америки, 1918-1945 годов История стран Европы и Америки, 1945-до наших дней История южных и западных славян Общая история Церкви История стран Азии и Африки  История стран Ближнего Зарубежья  Теоретико-методологические проблемы исторической науки Источниковедение электронных документов Историография междисциплинарных исторических исследований Архивоведение и архивные информационные технологии для историков Историческая география и географические информационные системы Латинский язык История искусства Социология Основы политологии История средневековой культуры (IV-XIV веков) История средневековой культуры (XV-середина XVII веков) Всемирная литература  Русская литература  Стратегический менеджмент  Язык истории и политики  Количественные методы в исторических исследованиях  Теория и практика преподавания истории в средней школе  Интернет-эвристика для историков  Компьютерные методы анализа нарративных источников  Компьютерная графика для историков  Введение в историческую информатику  Спецсеминар по выпускной квалификационной работе бакалавра (по профилю)  Методы визуализации и репрезентации данных разнородных исторических источников: введение в R  Информационные системы и базы данных в исторических исследованиях  Индустриализация и модернизационные процессы в Российской империи и СССР: электронные  ресурсы, методы анализа Мировая история финансов, банков и денег от средних веков до XXI века: исследовательские подходы и  методы Внешняя торговля России в XVIII-XX вв.: источники, электронные ресурсы и методы их анализа  Биржевые кризисы и “аномалии”: исторический опыт и методы исследования  Технологии оцифровки трёхмерных пространственных исторических данных: 3d моделирование,  фотограмметрия, лазерное сканирование, цифровая аэрофотосъёмка Методы и технологии работы историка с аудиовизуальными документами Разработка исторических интернет-ресурсов	NA	NA	NA
Московский государственный университет имени М.В. Ломоносова	http://www.hist.msu.ru/study/programs/mag/460401/program.php?ELEMENT_ID=53150	Исторический факультет	Историческая информатика	46.04.01	Магистратура	Москва	Иностранный язык  Современное естествознание Наука о данных и искусственный интеллект  Философия  Экономика  Правоведение  Методологические проблемы исторических исследований  Теоретико-методологические проблемы преподавания истории Музееведение Компьютерные методы анализа массовых источников  Методы и технологии социальной истории  Спецсеминар по научной проблематике исторической информатики  Компьютерное моделирование исторических процессов  Математическая логика для историков  Компьютерные реконструкции объектов историко-культурного наследия  Методы и технологии клиометрики	NA	NA	NA
Тамбовский государственный университет имени Г.Р. Державина	https://www.tsutmb.ru/abiturientu/magistratura/programs/istoriya-magisterskaya-programma-istoricheskaya-informatika/	Факультет истории, мировой политики и социологии	Историческая информатика	46.04.01	Магистратура	Тамбов	Научно-исследовательский семинар Управление проектами: методы и технологии Межкультурные коммуникации Информационные технологии в профессиональной деятельности Иностранный язык в профессиональной сфере Актуальные проблемы исторических исследований Междисциплинарные подходы в современной исторической науке Педагогика и психология высшей школы Методологические проблемы исторической информатики Статистика и анализ данных Сохранение историко-культурного наследия методами исторической информатики Информационные ресурсы по социальной истории Введение в гуманитарную информатику Исторические информационные образовательные ресурсы Цифровые возможности презентации и сохранения исторических источников Цифровые методы анализа текста в исторических исследованиях Моделирование исторических процессов Компьютерная графика и интерактивная анимация Геоинформационные системы в исторических исследованиях Методы и технологии сетевого анализа Историография исторической информатики и Digital history	Цель - достижение выпускниками планируемых результатов: знаний, умений и способностей в области российской и всеобщей истории, использования методов исторической информатики в исторических исследованиях, а также в сфере преподавания истории в общеобразовательных учреждениях	Специалист по цифровизации историко-культурного контента Специалист в области архивного и музейного дела Историк	ЦЕЛЬ ПРОГРАММЫ достижение выпускниками планируемых результатов: знаний, умений и способностей в области российской и всеобщей истории, использования методов исторической информатики в исторических исследованиях, а также в сфере преподавания истории в общеобразовательных учреждениях. Актуальность программы обусловлена тем, что формирование цифровой экономики, проникновение информационных технологий во все сферы общественной жизни, создание на основе этих технологий новой социально-культурной инфраструктуры – все эти процессы определяют направление современного тренда развития информационного общества, что выражается, помимо прочего, в появлении социального заказа на соответствующие компетенции. Этот вызов требует появления образовательных программ, способных сформировать эти компетенции, востребованных на рынке труда. Таким образом, конкурентоспособность данной программы обусловлена её направленностью на формирование новых решений в сфере подготовки специалистов в системе исторического образования, инфраструктуры исследования и сохранения историко-культурного наследия Этапы обучения img  / 01 Первый курс   / 02 Второй курс Геоинформационные системы в исторических исследованиях, Методы и технологии сетевого анализа, Историография исторической информатики и Digital history  Ключевые дисциплины Актуальные проблемы исторических исследований обучающиеся изучают проблематику демографической, геоэкологической, социокультурной истории, истории повседневности и т.д Введение в гуманитарную информатику обучающиеся имею возможность познакомиться с такими направлениями как использование информационных технологий в работе с текстами, количественными данными, графикой и анимацией Междисциплинарные подходы в современной исторической науке направлена на изучение методологических основ и принципов применения междисциплинарных подходов в исторических исследованиях Кем вы станете Вариантов профессий много, а конечный выбор зависит только от вас! Специалист по цифровизации историко-культурного контента Специалист в области архивного и музейного дела Историк
Ижевский государственный технический университет им. М.Т. Калашникова	https://istu.ru/department/kafedra-lingvistika#tab-science	Кафедра «Лингвистика»	Разработка интеллектуальных диалоговых систем	09.03.03	Бакалавриат	Ижевск	Интеллектуальные информационные системы и технологии Статистические методы в лингвистике / Информационный поиск Автоматизированная обработка естественного языка Языки и форматы разметки лингвистических данных Лингвистическое обеспечение информационных систем Электронные издания, библиотеки, корпуса Фонетика и основы обработки звучащей речи Управление проектной деятельностью	Способность разрабатывать и адаптировать прикладное программное обеспечение Способность принимать участие в управлении проектами создания информационных систем на стадиях жизненного цикла Способность использовать современные информационные технологии и программные средства при решении задач профессиональной деятельности Способность применять в профессиональной деятельности основные понятия и категории современной лингвистики	Выпускник может работать программистом, специалистом по информационным системам, руководителем проектов в области информационных технологий, системным аналитиком, специалистом по тестированию в области информационных технологий.	Кафедра «Лингвистика» образована 1 сентября 2005 года как учебно-научное подразделение факультета «Экономика, право и гуманитарные науки». Заведующим кафедрой назначен, а затем избран доктор филологических наук Баранов Виктор Аркадьевич. Целью создания кафедры явилась необходимость повышения уровня языковой подготовки студентов ИжГТУ.  Кафедра осуществляет набор и подготовку бакалавров по направлению 45.03.03 Фундаментальная и прикладная лингвистика, профиль Теоретическая и компьютерная лингвистика.  Кроме того, преподаватели кафедры ведут занятия по русскому языку, культуре речи, риторике, стилистике и древним языкам, а с 2018 года – немецкому и французскому языкам, а также по некоторым другим лингвистическим дисциплинам.  Особой сферой деятельности сотрудников кафедры является развитие научных направлений на стыке лингвистики, с одной стороны, и математики, информатики, программирования – с другой.  Описание образовательной программы  Образовательная программа предусматривает изучение передовых технологий обработки текста с применением искусственного интеллекта, лингвистических моделей и математических алгоритмов, которые могут быть использованы для решения широкого ряда аналитических задач. Например, для оценки эффективности PR- или рекламной кампаний, действий в рамках этих кампаний, отслеживания отклика на проводимые мероприятия, для извлечения из анализируемого корпуса текстов фактов, событий, персон, объектов, организаций, предметов, географических названий и их связей между собой, контекстов упоминаний и для решения других задач, необходимых для исследования потребностей деятельности организаций с целью определения проблем бизнеса и формирования предложений их решения.  Актуальность программы  Программа подготовки включает в себя классические дисциплины программирования и алгоритмизации, моделирования и анализа данных и дисциплины предметной области - лингвистики, цель изучения которых - проведение количественного и качественного, в том числе с применением искусственного интеллекта, контент-анализа текстовых корпусов в соответствии с временными, гендерными и иными параметрами.  Дисциплины  Интеллектуальные информационные системы и технологии Статистические методы в лингвистике / Информационный поиск Автоматизированная обработка естественного языка Языки и форматы разметки лингвистических данных Лингвистическое обеспечение информационных систем Электронные издания, библиотеки, корпуса Фонетика и основы обработки звучащей речи Управление проектной деятельностью и др. Специальные дисциплины ведут преподаватели кафедр «Информационные системы» (зав. каф. д-р физ.-мат. наук, проф. М. М. Горохов) и «Лингвистика» (зав. каф. д-р филол. наук, проф. В. А. Баранов).  Получаемые компетенции  Способность разрабатывать и адаптировать прикладное программное обеспечение  Способность принимать участие в управлении проектами создания информационных систем на стадиях жизненного цикла;  Способность использовать современные информационные технологии и программные средства при решении задач профессиональной деятельности  Способность применять в профессиональной деятельности основные понятия и категории современной лингвистики  Трудоустройство  Выпускник может работать программистом, специалистом по информационным системам, руководителем проектов в области информационных технологий, системным аналитиком, специалистом по тестированию в области информационных технологий.
Ижевский государственный технический университет им. М.Т. Калашникова	https://istu.ru/department/kafedra-lingvistika#tab-science	Кафедра «Лингвистика»	Теоретическая и компьютерная лингвистика	45.03.03	Бакалавриат	Ижевск	Введение в теорию коммуникации Основы судебной лингвистической экспертизы Литературное редактирование Документная лингвистика Риторика Основы психолингвистики Основы социолингвистики Языки мира и языковые ареалы История русского языка Палеография Английский язык Немецкий язык Информатика и основы программирования Технология проектирования программ Лингвистическое обеспечение информационных систем Электронные издания Технологии обработки текста и звучащей речи Технологии корпусной лингвистики	NA	Сфера деятельности выпускника: ИТ-компании: создание и продвижение сайтов, разработка прикладных программ в области анализа естественного языка, документооборота, автоматического перевода, создания словарей, текстовых корпусов, лингвистических ресурсов и др.; средства массовой информации (в том числе электронные); рекламные агентства: копирайтинг, спичрайтинг; издательства, типографии (редакторская подготовка изданий); лингвистическая экспертиза; перевод (английский, немецкий); работа с документами в любых областях, в том числе работа с электронными документами, электронными библиотечными и архивными системами, текстовыми базами данных.  Выпускники направления «Фундаментальная и прикладная лингвистика» («Теоретическая и компьютерная лингвистика») работают программистами, тестировщиками программ, техническими писателями, преподавателями английского языка и русского как иностранного, переводчиками, документоведами, экспертами на ведущих предприятиях, в государственных структурах и крупных коммерческих организациях Удмуртии и других регионов (Экспертно-криминалистический центр МВД УР, АО «Ижевский мотозавод «Аксион-холдинг»», ПАО Сбербанк, НПО «Компьютер», НТВП «Кедр», компании ELMA, EPAM Systems, Codax, DIRECTUM, Binet.pro и др.). Некоторые выпускники продолжают учебу в других вузах, как российских, так и зарубежных.	Сфера деятельности выпускника:  ИТ-компании: создание и продвижение сайтов, разработка прикладных программ в области анализа естественного языка, документооборота, автоматического перевода, создания словарей, текстовых корпусов, лингвистических ресурсов и др.; средства массовой информации (в том числе электронные); рекламные агентства: копирайтинг, спичрайтинг; издательства, типографии (редакторская подготовка изданий); лингвистическая экспертиза; перевод (английский, немецкий); работа с документами в любых областях, в том числе работа с электронными документами, электронными библиотечными и архивными системами, текстовыми базами данных.  Выпускники Выпускники направления «Фундаментальная и прикладная лингвистика» («Теоретическая и компьютерная лингвистика») работают программистами, тестировщиками программ, техническими писателями, преподавателями английского языка и русского как иностранного, переводчиками, документоведами, экспертами на ведущих предприятиях, в государственных структурах и крупных коммерческих организациях Удмуртии и других регионов (Экспертно-криминалистический центр МВД УР, АО «Ижевский мотозавод «Аксион-холдинг»», ПАО Сбербанк, НПО «Компьютер», НТВП «Кедр», компании ELMA, EPAM Systems, Codax, DIRECTUM, Binet.pro и др.). Некоторые выпускники продолжают учебу в других вузах, как российских, так и зарубежных.  Научная деятельность  Результаты исследовательской работы сотрудников кафедры «Лингвистика» были представлены более чем в 150 научных статьях в российских и зарубежных журналах, а также на всероссийских и международных конференциях. С 2005 года более 25 проектов (как коллективных, так и индивидуальных) были поддержаны грантообразующими государственными фондами и Министерством образования и науки РФ. В 2006-2018 гг. кафедра «Лингвистика» совместно с коллективами других российских и зарубежных вузов подготовила и провела 8 международных конференций и школ «Письменное наследие и информационные технологии (El’Manuscript)» в городах Ижевск, Казань, Уфа, Петрозаводск, Новосибирск, Варна (Болгария), Вильнюс (Литва), Вена и Кремс (Австрия).  Научные направления кафедры: Исторические, корпусные и лингвотекстологические исследования древних славянских рукописей и текстов Исследования в области диалектного словообразования Исследования и прикладные разработки в области современной и исторической лексикологии, семасиологии, лексикографии  Преподаватели кафедры осуществляют прикладные работы в области компьютерной лингвистики. На кафедре созданы и развиваются: корпус средневековых славянских рукописей XI-XV вв. (http://manuscripts.ru), корпус языка М. В. Ломоносова (http://lomonosov.pro), лингвогеографическая информационная система «Диалект» (http://dialect.manuscripts.ru).   Научные связи кафедры «Лингвистика»  Казанский (Приволжский) федеральный университет (совместные прикладные разработки в области хранения, обработки и издания средневековых славянских рукописей). Новосибирский государственный университет (организация научных мероприятий). Петрозаводский государственный университет (организация научных мероприятий). Кирилло-Мефодиевский научный центр Болгарской Академии наук (совместные прикладные работы в области исследования и публикации средневековых славянских рукописных памятников). Институт славистики Венского университета (Австрия) (совместные прикладные разработки в области хранения, обработки и издания средневековых славянских рукописей). École Normale supérieure Lettres et Sciences humanes (Высшая гуманитарная школа), Lyon, France, группа Base de Franҫais Médiéval (координация работ в области разработки лингвистических и текстологических стандартов).  Научные сообщества  Научное сообщество «Письменное наследие» Ассоциация «История и компьютер» Российское научное сетевое сообщество цифровой гуманитаристики
УрФУ им. первого Президента России Б.Н. Ельцина	https://dh-urfu.skbkontur.ru/?utm_source=site&utm_medium=urfu&utm_campaign=urfu&utm_term=magistratura_tsifrovaya_gumanitaristika#tab-2s	Уральский гуманитарный институт	Интеллектуальные системы в гуманитарной среде	45.04.04	Магистратура	Екатеринбург	Работа в офисных пакетах Основы программирования Цифровые технологии в гуманитарной сфере (введение в специальность DH) Английский язык Теория и практика бизнес-коммуникаций Компьютерная лингвистика Качественные методы в социальных науках Основы проектной деятельности Основы SQL и работа с базами данных Прикладная статистика и анализ данных Работа с данными с помощью Python Технологии работы с визуальным контентом Системный анализ Основы публичных выступлений и презентаций Создание и запуск ИТ-продукта Работа в сервисах отчетности Профессиональные курсы Бизнес-анализ Академическое письмо Цифровые технологии в образовании Внутрикорпоративные коммуникации Исследования пользователей Прикладной маркетинг Развитие продукта Антропология социальных медиа Анализ больших данных Информационные технологии в музейной практике Психология человека в цифровом мире Теория медиа Цифровые методы в исторических исследованиях	1. Проводить научные и бизнес-исследования, выдвигать гипотезы и проверять их на практике 2. Систематизировать данные, обрабатывать их, готовить количественную и качественную аналитику с помощью скриптов и программ 3. Узнаете о проектном подходе в запуске продукта и стратегическом планировании 4. Строить экономику бизнеса, презентовать и продвигать проект в разных каналах	Выпускники нашей магистратуры смогут развиваться и работать в любом направлении, смежном с компьютерными и гуманитарными науками.  Продуктовый маркетолог «Продуктовый маркетолог помогает создавать нужные людям продукты и делать так, чтобы в каждой точке контакта у клиента был позитивный опыт. Благодаря этому клиенты покупают наши сервисы и рекомендуют их знакомым.  Что мы для этого делаем:  Проводим исследования. Изучаем клиентов, мотивацию, потребности. Анализируем то, что окружает клиента. Это помогает понять, чего хочет клиент и как наше решение поможет его бизнесу. Считаем, сколько будут стоить продукты и на каких условиях их продавать. Рассказываем клиентам о продукте: работаем со СМИ, придумываем рекламные кампании и запускаем мероприятия. Мы стараемся, чтобы наши коммуникации были экологичными, уместными и полезными. Помогаем отделу продаж: собираем базу релевантных клиентов, создаем методологию, чтобы менеджеру легко было рассказывать о продукте и доносить ценность. Анализируем эффективность проекта: сколько и как мы зарабатываем, какой канал коммуникации лучше работает, строим прогнозы. Здесь на помощь приходят бизнес-аналитики и дата-сайентисты, которые обрабатывают большие объемы данных. Маркетолог изучает эти данные и делает выводы. Продуктовый маркетолог внимателен к тому, что происходит у клиентов, у коллег и в целом в мире. Мы смотрим на ситуации глазами пользователя, разработки и бизнеса. Так мы помогаем принимать решения руководителям и понимаем, как продукт будет развиваться. Маркетолог как маяк, который освещает путь к цели.»  Аналитик данных «Аналитики дают бизнесу информацию для принятия решений. Аналитик делает это с помощью данных. Например, маркетолог хочет узнать, в какой упаковке хлеб продается лучше всего. Аналитик собирает данные о продажах, а затем с помощью статистических критериев выбирает лучшую упаковку.  Аналитик строит прогнозные модели. Например, магазин хочет узнать, как хорошо будет продаваться хлеб в следующем году. Аналитик собирает данные о продажах за прошлый год и строит математическую модель, которая предсказывает продажи.  Аналитику данных нужно знать:  Excel SQL Статистика и статистические пакеты/языки обработки данных R или Python Power BI или другие инструменты визуализации данных»  Менеджер маркетинговых исследований «Исследователи и интервьюеры работают «‎в полях», где они получают данные, и в офисе, где они данные обрабатывают.  Суть работы интервьюера, с одной стороны, проста: поднял трубку, задал вопросы по предложенной анкете, зафиксировал результат. С другой стороны, все люди разные, к каждому даже в коротком разговоре нужно найти свой подход, убедить человека уделить нам 5–10 минут.  Результаты работы интервьюера обобщаются, мы передаем их аналитикам нашего отдела, которые, в свою очередь, делают на основании собранного массива данных выводы о состоянии дел на том или ином участке рынка, выясняют реальные потребности клиентов и т.д.  Далее эти данные аналитики презентуют заказчикам — коллегам из команд продуктов. Маркетологи, разработчики, руководители проектов, используя эти данные, формулируют идеи продвижения продуктов, делают предложения клиентам по новым продуктам, получают более широкую картину.  Интервьюер — это стартовая позиция, которая позволяет получить хороший опыт общения с людьми, умение находить разный подход к ним, развить речь и умение вести телефонные переговоры».  Денис Ерышканов, руководитель колл-центра отдела маркетинговых исследований  «Исследователь помогает услышать голос целевой аудитории продукта или услуги. Понять потребности аудитории, желания или проблемы. В результатах исследований кроются ответы или новые гипотезы о продукте, конкурентах и рынке в целом.  Типичные задачи для исследователя:  Узнать долю рынка, лояльность клиентов, причины непродления, уровень удовлетворенности и прочие вопросы, связанные с проверкой гипотез на большом числе респондентов. Это количественные исследования — телефонные, интернет-опросы и другие. Изучить бизнес-процессы целевой аудитории, погрузиться в пользовательский опыт, сценарии, мотивы и потребности клиентов, протестировать восприятие образа продукта и оценить рекламные материалы. Это качественные исследования: фокус-группы, глубинные и полуформализованные интервью, наблюдение и другие. Посчитать ёмкость рынка, определить демографию клиентов, сегментировать клиентов. Это кабинетные исследования: аналитика баз, сбор информации по рынку, отрасли, региону. Сравнить цены и функциональность продуктов конкурентов. Это конкурентная разведка».  Менеджер по коммуникациям «Менеджер по коммуникациям может приложить свой талант в нескольких сферах: копирайтинг, контент-маркетинг, PR, SMM, контент-стратег и т.д. Если умеете в коммуникации, открываются многие двери.  Коммуникатор помогает заказчику (бизнесу, руководству компании, органу власти) донести то, что нужно, до аудитории в целости и сохранности. Такой специалист думает: что, как и где нужно сказать, чтобы не проиграть по пути в «глухие телефончики».  Такой специалист умеет писать хорошие, крепкие и полезные тексты, разбирается в визуальном повествовании, знает, как работают соцсети и что нужно делать, чтобы быть в них заметными. Это человек-оркестр в лучшем смысле: и написать, и снять, и сказать, и упаковать, и опубликовать, и продвинуть.	Цифровая гуманитаристика, или Digital Humanities, — это современное направление науки, связанное с применением компьютерных методов в социальных и гуманитарных исследованиях. В ходе освоения программы студент, с одной стороны, приобретает широкие знания в области теории и методологии гуманитарных дисциплин, а с другой — навыки компьютерного сопровождения таких исследований, которые могут применяться как в академической среде, так и за ее пределами при решении широкого круга аналитических задач. Студент учится формализовывать различные виды данных, анализировать их с использованием современных IT-инструментов, представляя результаты своего анализа в электронной форме.  Программа реализуется совместно с компанией СКБ Контур, одним из национальных лидеров IT-отрасли. Сотрудники СКБ Контур преподают студентам дисциплины технического и управленческого циклов, руководят практикой студентов. Лучшие  студенты привлекаются к работе над реальными IT-проектами компании.   Программа вошла в Топ-10 наиболее перспективных специальностей по версии """"Российской газеты"""".  Для кого предназначена эта программа?  Программа предназначена для студентов, интересующихся возможностями применения современных компьютерных решений в гуманитарных и социальных исследованиях, как чисто академических, так и отраслевых, а также для ребят, стремящихся заниматься аналитической и управленческой работой  на предприятиях IT-отрасли и в смежных сферах бизнеса.   Преимущества программы  Открытость для абитуриентов любого профиля подготовки: программа доступна для выпускников любых гуманитарных специальностей, желающих расширить свои знания в области гуманитаристики, научиться программировать и реализовывать научные, просветительские, культурные проекты, требующие компетенций в области информационных технологий.  Сочетание фундаментальной гуманитарной подготовки с углубленным изучением IT: наряду с дисциплинами, направленными на знакомство студентов с современным состоянием самых разных гуманитарных наук и возможностями применения в них компьютерных технологий, студент изучает целый ряд прикладных математических и IT-дисциплин: программирование, базы данных, статистика, компьютерная графика, web-дизайн. Проектная деятельность как основа профессиональной самореализации: в течение всего срока обучения магистрант работает над конкретным научным или просветительским проектом, соответствующим его собственным профессиональным интересам, параллельно осваивая те информационные технологии, которые необходимы для реализации проектов именно такого типа.  Магистерская программа поможет специалистам, которые уже работают, но чувствуют недостаток технических или менеджерских навыков.  В учебе вам поможет  Критическое и системное мышление Любовь к цифрам и поиску закономерностей Умение находить общий язык с людьми, выявлять их потребности и мотивировать на результат Знание иностранного языка  Программа обучения  Лекции читают ученые УрФУ и практикующие специалисты Контура, которые проверили на себе все инструменты и делятся ими с вами. Программа обучения состоит из общих курсов и двух траекторий на выбор. В траектории Контура развиваются профессиональные навыки, применимые к бизнес-задачам. Траектория УрФУ — академическая, она посвящена применению аналитических методов к гуманитарным наукам.  Чему вы научитесь  1. Проводить научные и бизнес-исследования, выдвигать гипотезы и проверять их на практике  2. Систематизировать данные, обрабатывать их, готовить количественную и качественную аналитику с помощью скриптов и программ  3. Узнаете о проектном подходе в запуске продукта и стратегическом планировании  4. Строить экономику бизнеса, презентовать и продвигать проект в разных каналах  Читайте истории наших студентов  Павел Кузьмин 1 курс  Я окончил бакалавриат по направлению «Востоковедение и африканистика», где учил один из самых сложных языков мира – японский. На четвёртом курсе мне захотелось сменить свою профессиональную деятельность. Привлекала IT-сфера, но самих технических навыков у меня не было. Поэтому я решил поступить на «Цифровую гуманитаристику».  Обучение в магистратуре дает не только хард, но и софт скиллы. Например, работа в команде над проектом, когда необходимо быть коммуникабельным. Креативность и умение выступать перед публикой, когда, например, необходимо защитить свой стартап. Я советую поступать в магистратуру Контура всем своим друзьям, которые сейчас заканчивают бакалавриат. Это направление отличается от других малым количеством «классических» университетских дисциплин и интересным синтезом гуманитарной и технической сфер.  Вера Сапожникова 1 курс  Я уже полтора года работаю бизнес-аналитиком. Закончила ФИИТ, но поняла, что разработка мне неинтересна и поступила в магистратуру Контура «Цифровая гуманитаристика». Я изучила программу, посмотрела учебный план и поняла, что здесь концентрировано учат тем навыкам и скиллам, которые нужны в работе аналитика. Спойлер: это обучение помогло мне глубже заглянуть в профессию, предоставило теоретическую базу, открыло для меня новые направления и возможности. И это все только за 1 год обучения.  Сегодня я работаю системным аналитиком в Контуре в Биллинге. Здесь круто настроена система обмена опытом, менторство и обучение.  Андрей Спиридонов Выпускник 2022 года  Я учился на специалитете в радиофаке на направлении «Радиоэлектронные системы и комплексы». Поступил, потому что понимал что свободное время еще есть и почему бы не занять его чем-то полезным. полученными знаниями и навыками. За время обучения в магистратуре мне были полезны и интересны такие предметы, как SQL, системный анализ, инициация и планирование ИТ-продукта. И другие предметы тоже, но они, как мне кажется, больше про расширение кругозора и погружение в сферу IT.  Как максимум, я нашел комфортное место работы. Три месяца назад я попал в команду аналитиков данных Контура.  Кем можно стать после магистратуры  Выпускники нашей магистратуры смогут развиваться и работать в любом направлении, смежном с компьютерными и гуманитарными науками.  Продуктовый маркетолог  «Продуктовый маркетолог помогает создавать нужные людям продукты и делать так, чтобы в каждой точке контакта у клиента был позитивный опыт. Благодаря этому клиенты покупают наши сервисы и рекомендуют их знакомым.  Что мы для этого делаем:  Проводим исследования. Изучаем клиентов, мотивацию, потребности. Анализируем то, что окружает клиента. Это помогает понять, чего хочет клиент и как наше решение поможет его бизнесу.  Считаем, сколько будут стоить продукты и на каких условиях их продавать. Рассказываем клиентам о продукте: работаем со СМИ, придумываем рекламные кампании и запускаем мероприятия. Мы стараемся, чтобы наши коммуникации были экологичными, уместными и полезными.  Помогаем отделу продаж: собираем базу релевантных клиентов, создаем методологию, чтобы менеджеру легко было рассказывать о продукте и доносить ценность.  Анализируем эффективность проекта: сколько и как мы зарабатываем, какой канал коммуникации лучше работает, строим прогнозы. Здесь на помощь приходят бизнес-аналитики и дата-сайентисты, которые обрабатывают большие объемы данных. Маркетолог изучает эти данные и делает выводы.  Продуктовый маркетолог внимателен к тому, что происходит у клиентов, у коллег и в целом в мире. Мы смотрим на ситуации глазами пользователя, разработки и бизнеса. Так мы помогаем принимать решения руководителям и понимаем, как продукт будет развиваться. Маркетолог как маяк, который освещает путь к цели.»  Анастасия Рысева, маркетолог  Аналитик данных  «Аналитики дают бизнесу информацию для принятия решений. Аналитик делает это с помощью данных. Например, маркетолог хочет узнать, в какой упаковке хлеб продается лучше всего. Аналитик собирает данные о продажах, а затем с помощью статистических критериев выбирает лучшую упаковку.  Аналитик строит прогнозные модели. Например, магазин хочет узнать, как хорошо будет продаваться хлеб в следующем году. Аналитик собирает данные о продажах за прошлый год и строит математическую модель, которая предсказывает продажи.  Аналитику данных нужно знать:  Excel SQL Статистика и статистические пакеты/языки обработки данных R или Python Power BI или другие инструменты визуализации данных»  Владимир Савельев, аналитик данных  Менеджер маркетинговых исследований  «Исследователи и интервьюеры работают «‎в полях», где они получают данные, и в офисе, где они данные обрабатывают.  Суть работы интервьюера, с одной стороны, проста: поднял трубку, задал вопросы по предложенной анкете, зафиксировал результат. С другой стороны, все люди разные, к каждому даже в коротком разговоре нужно найти свой подход, убедить человека уделить нам 5–10 минут.  Результаты работы интервьюера обобщаются, мы передаем их аналитикам нашего отдела, которые, в свою очередь, делают на основании собранного массива данных выводы о состоянии дел на том или ином участке рынка, выясняют реальные потребности клиентов и т.д.  Далее эти данные аналитики презентуют заказчикам — коллегам из команд продуктов. Маркетологи, разработчики, руководители проектов, используя эти данные, формулируют идеи продвижения продуктов, делают предложения клиентам по новым продуктам, получают более широкую картину.  Интервьюер — это стартовая позиция, которая позволяет получить хороший опыт общения с людьми, умение находить разный подход к ним, развить речь и умение вести телефонные переговоры».  Денис Ерышканов, руководитель колл-центра отдела маркетинговых исследований  «Исследователь помогает услышать голос целевой аудитории продукта или услуги. Понять потребности аудитории, желания или проблемы. В результатах исследований кроются ответы или новые гипотезы о продукте, конкурентах и рынке в целом.  Типичные задачи для исследователя:  Узнать долю рынка, лояльность клиентов, причины непродления, уровень удовлетворенности и прочие вопросы, связанные с проверкой гипотез на большом числе респондентов. Это количественные исследования — телефонные, интернет-опросы и другие.  Изучить бизнес-процессы целевой аудитории, погрузиться в пользовательский опыт, сценарии, мотивы и потребности клиентов, протестировать восприятие образа продукта и оценить рекламные материалы. Это качественные исследования: фокус-группы, глубинные и полуформализованные интервью, наблюдение и другие.  Посчитать ёмкость рынка, определить демографию клиентов, сегментировать клиентов. Это кабинетные исследования: аналитика баз, сбор информации по рынку, отрасли, региону.  Сравнить цены и функциональность продуктов конкурентов. Это конкурентная разведка».  Сергей Ловыгин, специалист по маркетинговым исследованиям   Менеджер по коммуникациям  «Менеджер по коммуникациям может приложить свой талант в нескольких сферах: копирайтинг, контент-маркетинг, PR, SMM, контент-стратег и т.д. Если умеете в коммуникации, открываются многие двери.  Коммуникатор помогает заказчику (бизнесу, руководству компании, органу власти) донести то, что нужно, до аудитории в целости и сохранности. Такой специалист думает: что, как и где нужно сказать, чтобы не проиграть по пути в «глухие телефончики».  Такой специалист умеет писать хорошие, крепкие и полезные тексты, разбирается в визуальном повествовании, знает, как работают соцсети и что нужно делать, чтобы быть в них заметными. Это человек-оркестр в лучшем смысле: и написать, и снять, и сказать, и упаковать, и опубликовать, и продвинуть.  Юлия Позднякова, специалист по связям с общественностью  Практика в Контуре  Во время учебы в магистратуре вы можете пройти практику в Контуре: работать над задачами в существующем сервисе или развивать свой стартап.  Весь 4 семестр посвящен практикам и написанию дипломной работы.  «Половина курсов проходит в офисе Контура. Тут студенты учатся работать с данными, изучают системную аналитику и аналитику в бизнесе, осваивают навыки редактуры, копирайтинга. Запускают проекты и проводят исследования, получают компетенции, необходимые менеджерам проектов».  Скользкова Светлана Федоровна  руководитель образовательной программы и практики в Контуре
